previous utterance by the teller	drawer's utterance	next utterance by the teller	is CR?	impossible to know?
right between the boy and girl there 's a football about breast level between them . that 's all then ill check	okay let me know please	just bring the boy and girl and balls up a bit higher and that looks good	0	
left from the boy is a girl , half in sky half in green part . smile , facing left . owl on her left hand .	happy girl ?	yes	1	
well yes , her hands are like covering boys neck and mouth	ah , the girl is facing left , where are the bucket and cup in relation to her hands ?	the kids are facing right . bucket is at boys feet . cup covers boys shoe	1	
the kids are medium size , and the bear is large . ca n't even remember what else .	table is medium or big	thanks , and when you do these things please stay here if you idle too long people will report you . table is medium .	1	
2	what gender are they ?	1 boy , 1 girl	1	
yes	does the girls hand touch the table ?	yes , touches the leg	1	
below his bottom shoe , snake . i 'm guessing small . facing right .	is the snake pretty close to the bottom of the image ?	below the sun and a little to left , girl , facing right , crying , running . her eyes on horizon line . yes , snake close to bottom	1	
dog is same level than cat . on right sun , sad girl stands with hands up and faces left .	what size are the pets ?	big size .	1	
upper left is a partial sun . top cent is a hot air balloon . to the very right is a cloud .	under the sun is a running boy with purple glasses .	ok	0	
on the left side under the tree	okay ! can you check ?	sure	0	
---	cloud size ?	---	1	
just boy and girl opposite sides	fixed it ! ready to submit ?	yes	0	
sun top left , tree center , girl right , dog below girl , owl in tree	tree is big , so owl on the left , right or center of tree	ok i peeped , take out the dude and make the owl face the other way	1	
	hello , what image do you see	large sun on right side 6 points of the orange are showing rest is cut off	0	
	is there a sandbox ?		0	
sorry , a boy from bottom right , his hill cut off at the bottom right . he is smiling and running left	his heel ?	top right is a big sun cut off at the right and top , yes sorry # heel	1	
smiling girl right under the sun . her bottom mouth right above the horizon . 1 8 inch from right side . bat in her left hand	smile with teeth ?	hers yes his smile no teeth	1	
his right foot is cut off and so is hers	cut off by what ? ?	not shown	1	
i 'll peek	ok what should i change ?	tree is large , boy and girl are on the left side of screen facing right and large they are in front of tree	0	
medium	what side of the table is more forward	the left side . the right side of the corner is a bit hidden by the bottom bush of the tree .	1	
the swing set is on the left side . move the girl a little to the left .	ok i moved it	move the cloud a little more to the left . make the boys hat crooked a little . more on the left .	0	
large . large boy left side . facing left . running smiling . his bottom foot almost touches ground his elbow almost touches the left side .	i do n't have a running jenny	sorry he is facing right and she is facing left	0	
by her feet is a small campfire , in line with her feet	left or right feet ?	to the right of the fire is angry , cross legged boy , facing left , he 's small and a little above the campfire line	1	
more : there is a cloud just left of center and a pine tree to the right . campfire center bottom . let me know if should look at yours	how big is tree and fire	fire smaller than boy , tree big , stretches off page	1	
pull that tent over to left edge more and down until there is only 1 3 above	good .	turn boy right , and extend right had up , position so left shoulder touches bottom right corner of tent	0	
right	okay , where is he to horizon	bear mouth on the horizon . in the middle of the screen all the way down there is a large boy happy looking right his arms up	1	
a big rainy cloud just is in the center , one drops pass the horizon line .	so there is no burger on table ,	i peep , make table bigger . thanks .	1	
in front he facing the left looking at girl happy	there are two boy faces sad and happy	happy	1	
at right edge cut off small sand box line up with boys feet small rain cloud on right cut off hot air balloon between kids	is mound in box on left or right ?	left . i 'll peek	1	
on the left is a medium oak tree , hole facing left . the tip of the trunk touches the edge and the top of the tree touches the top edge	so where is the sun covered ?	the tree covers most of it . in front of the tree is a boy standing with one arm out , smiling , facing right . he is 1 4 inches from the bottom	1	
---	lol ok	---	0	
just move the tree over to almost the middle a little right of middle and it 's good . tree should be covering cloud . thanks	tanks		0	
she is happy , but has her mouth in an o shape along with her hands in the air .	ok where is tent	the boy is standing on the right in front of an apple tree smiling showing his top teeth while his hands are in the air	1	
there is a girl next to the tree , smiling , knees bent , a snake between boy and girl , owl in upper right part of tree facing left	is anyone holding a racket ?	boy and girl face left , that 's it , i 'll check	1	
large cloud upper left cut off on top below medium slide face right a little off edge . large girl at bottom left face left running	all that is on the left side ?	girl has shocked face and viking hat on right edge small bear facing left eyes at horizon paw off right edge	1	
